1,1,1,2,Bot 2,1,r,450,150,19400,900,0,0,0,0,0,0,0,0,0,0,8,1,7,2
1,1,1,3,Bot 1,4,r,19700,150,0,20600,0,0,0,0,0,0,0,0,0,0,2,1,5,3
1,1,1,3,Bot 2,1,f,19400,150,19400,20600,0,0,0,0,0,0,0,0,0,0,8,1,7,2
1,2,1,2,Bot 1,4,r,19250,150,1200,19700,0,0,0,0,0,0,0,0,0,0,7,4,14,4
1,2,1,2,Bot 2,1,f,19100,150,19100,19700,0,0,0,0,0,0,0,0,0,0,7,3,6,3
1,3,1,2,Bot 2,1,r,600,150,18350,1050,0,0,0,0,0,0,0,0,0,0,4,1,10,4
1,3,1,3,Bot 1,4,c,450,150,20150,1500,0,0,0,0,0,0,0,0,0,0,11,1,3,1
1,3,2,4,Bot 1,4,b,3450,150,16700,4950,7,3,13,2,4,3,0,0,0,0,11,1,3,1
1,3,2,4,Bot 2,1,f,3450,150,18350,4950,7,3,13,2,4,3,0,0,0,0,4,1,10,4
1,4,1,2,Bot 1,4,c,150,150,21350,600,0,0,0,0,0,0,0,0,0,0,7,4,8,4
1,4,2,2,Bot 2,1,k,0,150,18050,600,4,3,12,4,8,3,0,0,0,0,10,4,3,2
1,4,2,2,Bot 1,4,k,0,150,21350,600,4,3,12,4,8,3,0,0,0,0,7,4,8,4
1,4,3,2,Bot 2,1,k,0,150,18050,600,4,3,12,4,8,3,11,3,0,0,10,4,3,2
1,4,3,3,Bot 1,4,b,5150,150,16200,5750,4,3,12,4,8,3,11,3,0,0,7,4,8,4
1,4,3,3,Bot 2,1,f,5150,150,18050,5750,4,3,12,4,8,3,11,3,0,0,10,4,3,2
1,5,1,2,Bot 2,1,r,1150,150,16750,1600,0,0,0,0,0,0,0,0,0,0,4,1,13,2
1,5,1,3,Bot 1,4,r,5875,150,15775,7475,0,0,0,0,0,0,0,0,0,0,13,4,9,3
1,5,1,4,Bot 2,1,c,4875,150,11875,12350,0,0,0,0,0,0,0,0,0,0,4,1,13,2
1,5,2,4,Bot 1,4,k,0,150,15775,12350,10,2,10,3,5,4,0,0,0,0,13,4,9,3
1,5,2,4,Bot 2,1,k,0,150,11875,12350,10,2,10,3,5,4,0,0,0,0,4,1,13,2
1,5,3,5,Bot 1,4,b,11875,150,3900,24225,10,2,10,3,5,4,5,1,0,0,13,4,9,3
1,5,3,6,Bot 2,1,c,11875,150,0,36100,10,2,10,3,5,4,5,1,0,0,4,1,13,2
1,6,1,2,Bot 1,4,r,17900,150,3900,18350,0,0,0,0,0,0,0,0,0,0,3,1,8,2
1,6,1,2,Bot 2,1,f,17750,150,17750,18350,0,0,0,0,0,0,0,0,0,0,9,4,7,3
1,7,1,2,Bot 2,1,r,825,150,16775,1275,0,0,0,0,0,0,0,0,0,0,11,3,11,4
1,7,1,3,Bot 1,4,r,17450,150,4500,18725,0,0,0,0,0,0,0,0,0,0,9,1,2,1
1,7,1,3,Bot 2,1,f,16775,150,16775,18725,0,0,0,0,0,0,0,0,0,0,11,3,11,4
1,8,1,2,Bot 1,4,r,16625,150,6450,17075,0,0,0,0,0,0,0,0,0,0,8,4,2,1
1,8,1,2,Bot 2,1,f,16475,150,16475,17075,0,0,0,0,0,0,0,0,0,0,13,2,6,4
1,9,1,2,Bot 2,1,r,1150,150,15175,1600,0,0,0,0,0,0,0,0,0,0,13,3,9,4
1,9,1,3,Bot 1,4,r,4375,150,18850,5975,0,0,0,0,0,0,0,0,0,0,5,1,11,3
1,9,1,4,Bot 2,1,c,3375,150,11800,9350,0,0,0,0,0,0,0,0,0,0,13,3,9,4
1,9,2,5,Bot 1,4,b,7825,150,11025,17175,13,4,12,2,5,2,0,0,0,0,5,1,11,3
1,9,2,6,Bot 2,1,r,11800,150,0,28975,13,4,12,2,5,2,0,0,0,0,13,3,9,4
1,9,2,6,Bot 1,4,f,3975,150,11025,28975,13,4,12,2,5,2,0,0,0,0,5,1,11,3
1,10,1,2,Bot 1,4,r,625,150,10250,1075,0,0,0,0,0,0,0,0,0,0,8,3,5,2
1,10,1,3,Bot 2,1,c,475,150,28200,1550,0,0,0,0,0,0,0,0,0,0,10,1,13,4
1,10,2,3,Bot 2,1,k,0,150,28200,1550,3,2,4,4,8,2,0,0,0,0,10,1,13,4
1,10,2,4,Bot 1,4,b,10250,150,0,11800,3,2,4,4,8,2,0,0,0,0,8,3,5,2
1,10,2,4,Bot 2,1,f,10250,150,28200,11800,3,2,4,4,8,2,0,0,0,0,10,1,13,4
1,11,1,2,Bot 2,1,r,450,150,27600,900,0,0,0,0,0,0,0,0,0,0,8,4,8,1
1,11,1,3,Bot 1,4,c,300,150,11200,1200,0,0,0,0,0,0,0,0,0,0,3,2,11,4
1,11,2,4,Bot 1,4,b,11200,150,0,12400,6,4,6,1,10,3,0,0,0,0,3,2,11,4
1,11,2,5,Bot 2,1,c,11200,150,16400,23600,6,4,6,1,10,3,0,0,0,0,8,4,8,1
2,1,1,2,Bot 2,3,r,1050,150,18800,1500,0,0,0,0,0,0,0,0,0,0,9,2,13,3
2,1,1,2,Bot 1,3,f,900,150,19700,1500,0,0,0,0,0,0,0,0,0,0,7,1,2,4
2,2,1,2,Bot 1,3,r,1050,150,18500,1500,0,0,0,0,0,0,0,0,0,0,8,2,11,1
2,2,1,2,Bot 2,3,f,900,150,20000,1500,0,0,0,0,0,0,0,0,0,0,6,4,9,3
2,3,1,2,Bot 2,3,r,1050,150,18800,1500,0,0,0,0,0,0,0,0,0,0,9,3,13,2
