1,0,0,Bot 2,1,b,150,150,19850,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,Bot 1,3,b,300,150,19700,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,Bot 2,1,c,150,150,19700,600,0,0,0,0,0,0,0,0,0,0,7,4,13,2
1,1,3,Bot 2,1,r,675,150,19025,1275,0,0,0,0,0,0,0,0,0,0,7,4,13,2
1,1,3,Bot 1,3,f,675,150,19700,1275,0,0,0,0,0,0,0,0,0,0,9,4,13,1
2,0,0,Bot 1,3,b,150,150,19550,150,0,0,0,0,0,0,0,0,0,0,9,4,13,1
2,0,1,Bot 2,1,b,300,150,20000,450,0,0,0,0,0,0,0,0,0,0,7,4,13,2
2,1,1,Bot 1,3,f,150,150,19550,450,0,0,0,0,0,0,0,0,0,0,7,3,4,1
3,0,0,Bot 2,1,b,150,150,20300,150,0,0,0,0,0,0,0,0,0,0,5,2,14,3
3,0,1,Bot 1,3,b,300,150,19250,450,0,0,0,0,0,0,0,0,0,0,7,3,4,1
3,1,2,Bot 2,1,c,150,150,20150,600,0,0,0,0,0,0,0,0,0,0,3,1,14,2
3,1,3,Bot 2,1,r,675,150,19475,1275,0,0,0,0,0,0,0,0,0,0,3,1,14,2
3,1,3,Bot 1,3,f,675,150,19250,1275,0,0,0,0,0,0,0,0,0,0,14,4,4,1
4,0,0,Bot 1,3,b,150,150,19100,150,0,0,0,0,0,0,0,0,0,0,14,4,4,1
4,0,1,Bot 2,1,b,300,150,20450,450,0,0,0,0,0,0,0,0,0,0,3,1,14,2
4,1,2,Bot 1,3,c,150,150,18950,600,0,0,0,0,0,0,0,0,0,0,6,3,8,3
4,1,3,Bot 1,3,r,900,150,18050,1500,0,0,0,0,0,0,0,0,0,0,6,3,8,3
4,1,3,Bot 2,1,f,900,150,20450,1500,0,0,0,0,0,0,0,0,0,0,2,3,8,1
5,0,0,Bot 2,1,b,150,150,20300,150,0,0,0,0,0,0,0,0,0,0,2,3,8,1
5,0,1,Bot 1,3,b,300,150,19250,450,0,0,0,0,0,0,0,0,0,0,6,3,8,3
5,1,2,Bot 2,1,c,150,150,20150,600,0,0,0,0,0,0,0,0,0,0,2,4,12,3
5,1,3,Bot 2,1,r,300,150,19850,900,0,0,0,0,0,0,0,0,0,0,2,4,12,3
