0,1,1,1500
0,2,4,1800
0,3,1,1500
0,4,2,20000
0,5,1,5600
0,6,2,1500
0,7,1,1500
0,8,1,1825
0,9,1,450
0,10,1,18650
0,11,1,19250
0,12,1,17150
0,13,1,450
0,14,1,925
0,15,1,450
0,16,1,450
0,17,1,1500
0,18,2,4000
0,19,2,18900
0,20,1,16100
0,21,1,2000
0,22,1,2600
0,23,1,16900
0,24,1,2600
0,25,1,600
0,26,1,2000
0,27,4,800
0,28,3,1475
0,29,1,2000
0,30,2,12675
0,31,1,2000
0,32,1,1475
0,33,1,3800
0,34,1,5200
0,35,1,600
0,36,1,13775
0,37,1,3000
0,38,4,1200
0,39,1,900
0,40,1,12875
0,41,1,14075
0,42,1,9875
0,43,1,11075
0,44,4,6000
0,45,1,900
0,46,1,2600
0,47,1,3000
0,48,4,17950
2,1,2,1250
2,2,4,4800
2,3,2,1900
2,4,2,3700
2,5,4,21950
2,6,1,1275
2,7,4,600
2,8,1,1500
2,9,2,1300
2,10,2,3050
2,11,2,1300
2,12,2,2450
2,13,2,2450
2,14,4,1600
2,15,2,1750
2,16,1,1700
2,17,4,800
2,18,4,5100
2,19,2,1750
2,20,1,1700
2,21,2,1650
2,22,1,1600
2,23,3,3800
2,24,2,3350
2,25,2,2600
2,26,4,2850
3,1,4,600
3,2,1,1500
3,3,4,600
3,4,1,1500
3,5,2,1900
3,6,1,450
3,7,2,1900
3,8,1,450
3,9,4,600
3,10,1,1500
3,11,2,650
3,12,1,450
3,13,4,650
3,14,1,1500
3,15,2,875
3,16,1,2000
3,17,2,2675
3,18,1,600
3,19,2,875
3,20,1,2000
3,21,2,2700
3,22,1,2000
3,23,4,800
3,24,1,2000
3,25,2,2700
3,26,1,2000
3,27,2,2700
3,28,1,600
3,29,2,2700
3,30,1,600
3,31,2,1300
3,32,2,7400
3,33,4,1200
3,34,1,3000
3,35,2,4000
3,36,1,3000
3,37,4,1200
3,38,1,3000
3,39,2,4000
3,40,1,3000
3,41,4,1200
3,42,1,900
3,43,2,3800
3,44,1,900
3,45,4,1600
3,46,1,1200
3,47,4,10300
3,48,1,1200
3,49,4,3625
3,50,1,1200
3,51,4,1600
3,52,1,4000
3,53,1,6150
3,54,1,1200
3,55,3,2750
3,56,1,1200
3,57,2,5000
3,58,1,4150
3,59,2,3800
3,60,4,1800
3,61,4,2400
4,1,1,1325
4,2,2,9350
4,3,2,4225
